date,state,state_ibge_code,place,deaths_sars,deaths_pneumonia,deaths_respiratory_failure,deaths_septicemia,deaths_indeterminate,deaths_others,deaths_covid19,created_at
2018-04-23,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-04-24,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-04-24,AC,12,hospital,,2,,2,,2,,2020-06-09 15:50
2018-04-24,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-04-25,AC,12,hospital,,2,,1,,6,,2020-06-09 15:50
2018-04-26,AC,12,home,,,1,,,1,,2020-06-09 15:50
2018-04-26,AC,12,hospital,,3,,3,,3,,2020-06-09 15:50
2018-04-26,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-04-27,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-04-27,AC,12,hospital,,2,,,,2,,2020-06-09 15:50
2018-04-27,AC,12,public,,,1,,,,,2020-06-09 15:50
2018-04-28,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-04-28,AC,12,hospital,,1,,1,,3,,2020-06-09 15:50
2018-04-29,AC,12,home,,1,,,,2,,2020-06-09 15:50
2018-04-29,AC,12,hospital,,2,1,3,,2,,2020-06-09 15:50
2018-04-29,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-04-29,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-04-30,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-04-30,AC,12,hospital,,7,1,,,8,,2020-06-09 15:50
2018-04-30,AC,12,others,,,,,,2,,2020-06-09 15:50
2018-05-01,AC,12,home,,,1,,,,,2020-06-09 15:50
2018-05-01,AC,12,hospital,,,,1,,4,,2020-06-09 15:50
2018-05-01,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-05-01,AC,12,public,,,,,,2,,2020-06-09 15:50
2018-05-02,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-05-02,AC,12,hospital,,4,1,,,1,,2020-06-09 15:50
2018-05-03,AC,12,home,,,,,,3,,2020-06-09 15:50
2018-05-03,AC,12,hospital,,1,,1,,3,,2020-06-09 15:50
2018-05-04,AC,12,home,,,,,,3,,2020-06-09 15:50
2018-05-04,AC,12,hospital,,3,1,1,,2,,2020-06-09 15:50
2018-05-04,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-05-05,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-05-05,AC,12,hospital,,,1,2,,3,,2020-06-09 15:50
2018-05-05,AC,12,others,,,,1,1,,,2020-06-09 15:50
2018-05-05,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-05-06,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-05-06,AC,12,hospital,,1,2,,,3,,2020-06-09 15:50
2018-05-06,AC,12,others,,,1,,,2,,2020-06-09 15:50
2018-05-07,AC,12,hospital,,2,1,2,,5,,2020-06-09 15:50
2018-05-08,AC,12,home,,,,,,5,,2020-06-09 15:50
2018-05-08,AC,12,hospital,,2,,1,,2,,2020-06-09 15:50
2018-05-08,AC,12,public,,,,,,2,,2020-06-09 15:50
2018-05-09,AC,12,home,,1,1,,,2,,2020-06-09 15:50
2018-05-09,AC,12,hospital,,1,1,,,3,,2020-06-09 15:50
2018-05-10,AC,12,home,,,1,,,3,,2020-06-09 15:50
2018-05-10,AC,12,hospital,,2,1,1,,2,,2020-06-09 15:50
2018-05-10,AC,12,public,,,,,,3,,2020-06-09 15:50
2018-05-11,AC,12,home,,,,,,3,,2020-06-09 15:50
2018-05-11,AC,12,hospital,,3,,2,,2,,2020-06-09 15:50
2018-05-11,AC,12,others,,,,1,,,,2020-06-09 15:50
2018-05-12,AC,12,home,,,,,,3,,2020-06-09 15:50
2018-05-12,AC,12,hospital,,4,,,,4,,2020-06-09 15:50
2018-05-12,AC,12,others,,,,,,3,,2020-06-09 15:50
2018-05-13,AC,12,hospital,,5,1,,,4,,2020-06-09 15:50
2018-05-13,AC,12,others,,1,,,,,,2020-06-09 15:50
2018-05-14,AC,12,home,,,,,,4,,2020-06-09 15:50
2018-05-14,AC,12,hospital,,2,1,1,,2,,2020-06-09 15:50
2018-05-14,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-05-15,AC,12,home,,,,,,5,,2020-06-09 15:50
2018-05-15,AC,12,hospital,,5,2,2,,4,,2020-06-09 15:50
2018-05-15,AC,12,others,,,,,,2,,2020-06-09 15:50
2018-05-16,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-05-16,AC,12,hospital,,2,,1,,1,,2020-06-09 15:50
2018-05-17,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-05-17,AC,12,hospital,,1,,,,2,,2020-06-09 15:50
2018-05-18,AC,12,home,,,1,,,1,,2020-06-09 15:50
2018-05-18,AC,12,hospital,,,,2,,,,2020-06-09 15:50
2018-05-19,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-05-19,AC,12,hospital,,,,1,,1,,2020-06-09 15:50
2018-05-20,AC,12,home,,,1,,,2,,2020-06-09 15:50
2018-05-20,AC,12,hospital,,2,,,,4,,2020-06-09 15:50
2018-05-20,AC,12,others,,,,1,,1,,2020-06-09 15:50
2018-05-20,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-05-21,AC,12,home,,,,,,4,,2020-06-09 15:50
2018-05-21,AC,12,hospital,,1,1,2,,1,,2020-06-09 15:50
2018-05-22,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-05-22,AC,12,hospital,,2,1,1,,4,,2020-06-09 15:50
2018-05-22,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-05-23,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-05-23,AC,12,hospital,,1,,,,2,,2020-06-09 15:50
2018-05-23,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-05-24,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-05-24,AC,12,hospital,1,3,1,,,3,,2020-06-09 15:50
2018-05-25,AC,12,home,,,1,,,,,2020-06-09 15:50
2018-05-25,AC,12,hospital,,1,,,,3,,2020-06-09 15:50
